"distribution","sample_size","replications","method","global_ise","global_squared_bias","global_variance","boundary_ise","boundary_squared_bias","boundary_variance","finite_rate","mean_floor_ratio","minimum_density","maximum_mass_error"
"half_normal",1000,30,"fixed-25pct",0.00232711352945201,0.000237367111878006,0.00208974641757401,0.00115726236610121,5.02670537112527e-05,0.00110699531238995,0.7,6.43401199260486,1.13040847624379e-05,2.22044604925031e-16
"half_normal",1000,30,"fixed-30pct",0.00231117000000692,0.000240171907376736,0.00207099809263018,0.00114228501393874,5.35257957790126e-05,0.00108875921815973,0.7,7.48910434944926,1.13047763103815e-05,2.22044604925031e-16
"half_normal",1000,30,"fixed-35pct",0.00229686297939699,0.000242642686529828,0.00205422029286716,0.00112882622241208,5.63660204190984e-05,0.00107246020199298,0.7,8.43677378168733,1.13050274090261e-05,2.22044604925031e-16
"half_normal",1000,30,"fixed-40pct",0.00228944963338305,0.000242831116619971,0.00204661851676308,0.00112179246612444,5.655341339539e-05,0.00106523905272905,0.7,9.34145379661723,1.13047290481858e-05,2.22044604925031e-16
"half_normal",1000,30,"fixed-50pct",0.00227344588313635,0.000243474537140234,0.00202997134599611,0.00110571228344061,5.71353280387194e-05,0.00104857695540189,0.7,11.3280875827355,1.13029900215361e-05,2.22044604925031e-16
"half_normal",1000,30,"fixed-75pct",0.00221714034673766,0.000243482061837878,0.00197365828489979,0.00104976938408884,5.78750403428966e-05,0.000991894343745948,0.7,16.7479465148207,1.1293032196771e-05,2.22044604925031e-16
"half_normal",1000,30,"fixed-100pct",0.0021329497805297,0.000243836210442882,0.00188911357008682,0.000968433716153227,6.06661299234941e-05,0.000907767586229733,0.7,27.3251884944149,1.12679030054272e-05,2.22044604925031e-16
"half_normal",1000,30,"shrinking",0.00284213353017322,0.000230931420125264,0.00261120211004796,0.00166941156763807,4.14921749166945e-05,0.00162791939272138,0.7,1.35077773725852,0,2.22044604925031e-16
"gamma_2",100,30,"current",0.00448352076124264,0.000201561828895339,0.00428195893234731,0.00146327990980918,0.000135018357992683,0.0013282615518165,NA,NA,0,2.22044604925031e-16
"gamma_2",100,30,"fixed-15pct",0.00459371029079864,0.000201207501479278,0.00439250278931936,0.00158037848320732,0.000136949605033015,0.00144342887817431,0.333333333333333,1.91525005228117,0,1.11022302462516e-16
"gamma_2",100,30,"fixed-20pct",0.00455634729915098,0.000208004490920689,0.00434834280823029,0.00154236062875898,0.000142810162262304,0.00139955046649668,0.333333333333333,2.29761042217586,0,1.11022302462516e-16
"gamma_2",100,30,"fixed-25pct",0.00455623114841961,0.000214821631304367,0.00434140951711525,0.00154202356205872,0.000149333840245232,0.00139268972181349,0.333333333333333,2.77544275831225,0,1.11022302462516e-16
"gamma_2",100,30,"fixed-30pct",0.00455120479869776,0.000215698390397887,0.00433550640829987,0.00153831983882578,0.000150238994097621,0.00138808084472816,0.333333333333333,2.90797508198628,0,1.11022302462516e-16
"gamma_2",100,30,"fixed-35pct",0.0045471326651577,0.000217952041254612,0.00432918062390309,0.00153459820934171,0.00015244906752056,0.00138214914182115,0.333333333333333,2.99786682361582,0,1.11022302462516e-16
"gamma_2",100,30,"fixed-40pct",0.00454576337060127,0.000220363954783064,0.0043253994158182,0.00153287357090786,0.000154975717175496,0.00137789785373237,0.333333333333333,3.23371893266245,0,1.11022302462516e-16
"gamma_2",100,30,"fixed-50pct",0.00455160765603087,0.000226965756163114,0.00432464189986776,0.00153792876544311,0.000162076200268522,0.00137585256517459,0.333333333333333,3.75543047296855,0,1.11022302462516e-16
"gamma_2",100,30,"fixed-75pct",0.00460136779113603,0.000236565440002761,0.00436480235113327,0.00158461737904955,0.000173807172003612,0.00141081020704594,0.333333333333333,5.25961330940397,0,1.11022302462516e-16
"gamma_2",100,30,"fixed-100pct",0.00474861631473468,0.00023424922057421,0.00451436709416047,0.00171685956647603,0.000174884739131384,0.00154197482734464,0.333333333333333,8.06494615215408,0,1.11022302462516e-16
"gamma_2",100,30,"shrinking",0.0046866663853133,0.000191314677613302,0.00449535170769999,0.00167153051624082,0.000128138743162736,0.00154339177307808,0.333333333333333,1.46249077481671,0,1.11022302462516e-16
"gamma_2",1000,30,"current",0.000647619657310632,2.25272471129222e-05,0.00062509241019771,0.000297582963303315,5.0444987514047e-06,0.000292538464551911,NA,NA,0,1.11022302462516e-16
"gamma_2",1000,30,"fixed-15pct",0.000647619657310632,2.25272471129222e-05,0.00062509241019771,0.000297582963303315,5.0444987514047e-06,0.000292538464551911,0,NA,0,1.11022302462516e-16
"gamma_2",1000,30,"fixed-20pct",0.000647619657310632,2.25272471129222e-05,0.00062509241019771,0.000297582963303315,5.0444987514047e-06,0.000292538464551911,0,NA,0,1.11022302462516e-16
"gamma_2",1000,30,"fixed-25pct",0.000647619657310632,2.25272471129222e-05,0.00062509241019771,0.000297582963303315,5.0444987514047e-06,0.000292538464551911,0,NA,0,1.11022302462516e-16
"gamma_2",1000,30,"fixed-30pct",0.000647619657310632,2.25272471129222e-05,0.00062509241019771,0.000297582963303315,5.0444987514047e-06,0.000292538464551911,0,NA,0,1.11022302462516e-16
"gamma_2",1000,30,"fixed-35pct",0.000647619657310632,2.25272471129222e-05,0.00062509241019771,0.000297582963303315,5.0444987514047e-06,0.000292538464551911,0,NA,0,1.11022302462516e-16
"gamma_2",1000,30,"fixed-40pct",0.000647619657310632,2.25272471129222e-05,0.00062509241019771,0.000297582963303315,5.0444987514047e-06,0.000292538464551911,0,NA,0,1.11022302462516e-16
"gamma_2",1000,30,"fixed-50pct",0.000647619657310632,2.25272471129222e-05,0.00062509241019771,0.000297582963303315,5.0444987514047e-06,0.000292538464551911,0,NA,0,1.11022302462516e-16
"gamma_2",1000,30,"fixed-75pct",0.000647619657310632,2.25272471129222e-05,0.00062509241019771,0.000297582963303315,5.0444987514047e-06,0.000292538464551911,0,NA,0,1.11022302462516e-16
"gamma_2",1000,30,"fixed-100pct",0.000647619657310632,2.25272471129222e-05,0.00062509241019771,0.000297582963303315,5.0444987514047e-06,0.000292538464551911,0,NA,0,1.11022302462516e-16
"gamma_2",1000,30,"shrinking",0.000647619657310632,2.25272471129222e-05,0.00062509241019771,0.000297582963303315,5.0444987514047e-06,0.000292538464551911,0,NA,0,1.11022302462516e-16
"gamma_0.75",100,30,"current",0.0662130479543093,0.00603847252934643,0.0601745754249629,0.0596204629596765,0.00509342274353279,0.0545270402161437,NA,NA,2.97020597181301e-32,2.22044604925031e-16
"gamma_0.75",100,30,"fixed-15pct",0.0688437108923025,0.00596993002684055,0.062873780865462,0.0622764116383608,0.00502879344888837,0.0572476181894724,0.233333333333333,2.51217988508221,2.97020597181301e-32,2.22044604925031e-16
"gamma_0.75",100,30,"fixed-20pct",0.0681154550739925,0.00587067138602011,0.0622447836879724,0.0615411348528898,0.00493451100349295,0.0566066238493968,0.233333333333333,3.00451108242131,2.97020597181301e-32,2.22044604925031e-16
"gamma_0.75",100,30,"fixed-25pct",0.0669550767706018,0.00570743403616402,0.0612476427344378,0.0603956774670474,0.00477713459093501,0.0556185428761124,0.233333333333333,3.60367826811898,2.97020597181301e-32,2.22044604925031e-16
"gamma_0.75",100,30,"fixed-30pct",0.0658758521149039,0.00556660841555187,0.060309243699352,0.0593383501020204,0.004642953742049,0.0546953963599714,0.233333333333333,5.02363090385764,2.97020597181301e-32,2.22044604925031e-16
"gamma_0.75",100,30,"fixed-35pct",0.0654203316851601,0.00548660007863664,0.0599337316065235,0.0588890777872092,0.00456762074901735,0.0543214570381918,0.233333333333333,6.27557902395686,2.97020597181301e-32,2.22044604925031e-16
"gamma_0.75",100,30,"fixed-40pct",0.0650860242835899,0.00542694184924156,0.0596590824343483,0.0585561390714141,0.00451209769209147,0.0540440413793226,0.233333333333333,7.16425287464413,2.97020597181301e-32,2.22044604925031e-16
"gamma_0.75",100,30,"fixed-50pct",0.0647090006418789,0.00533834478367925,0.0593706558581996,0.0581738553795754,0.00442938224035204,0.0537444731392233,0.233333333333333,10.0698415841485,2.97020597181301e-32,2.22044604925031e-16
"gamma_0.75",100,30,"fixed-75pct",0.0651901055934623,0.00551032830221601,0.0596797772912463,0.0586057654421702,0.0045791668266887,0.0540265986154815,0.233333333333333,19.660134936497,2.97020597181301e-32,2.22044604925031e-16
"gamma_0.75",100,30,"fixed-100pct",0.0676880390463463,0.0060496287625182,0.0616384102838281,0.0609849876154783,0.00506658758002695,0.0559184000354514,0.233333333333333,51.1114722569795,2.97020597181301e-32,2.22044604925031e-16
"gamma_0.75",100,30,"shrinking",0.0708120152547144,0.00622858341689876,0.0645834318378157,0.0642682642137913,0.0052944469595103,0.058973817254281,0.233333333333333,1.56444490537761,0,2.22044604925031e-16
"gamma_0.75",1000,30,"current",0.00800935397940015,0.00240562435989908,0.00560372961950107,0.00685770784468224,0.00230260733820975,0.00455510050647249,NA,NA,2.36840057628249e-09,1.11022302462516e-16
