"distribution","sample_size","replications","method","global_ise","global_squared_bias","global_variance","left_ise","left_squared_bias","left_variance","right_ise","right_squared_bias","right_variance","lower_accuracy","upper_accuracy","lower_finite_rate","upper_finite_rate","minimum_density","maximum_mass_error"
"beta-1-2",100,100,"single-1.5-95",0.0391447581497541,0.000761530465982772,0.0383832276837713,0.0245139853396121,0.000573167886424792,0.0239408174531873,0.000768694620224218,1.26444380310741e-05,0.000756050182193144,0.59,0.75,0.59,0.25,0,1.11022302462516e-16
"beta-1-2",100,100,"single-2-95",0.0394500514824982,0.000571865397191171,0.038878186085307,0.0247654009525492,0.000381396460769478,0.0243840044917797,0.000753658240802613,8.76337172050094e-06,0.000744894869082112,0.59,0.87,0.59,0.13,0,1.11022302462516e-16
"beta-1-2",100,100,"median-90",0.0389604014953733,0.000299480749325628,0.0386609207460477,0.0242918518204971,8.17788016543939e-05,0.0242100730188427,0.000702443494037229,8.07378453048265e-06,0.000694369709506746,0.77,0.94,0.77,0.06,0,1.11022302462516e-16
"beta-1-2",100,100,"vote-90",0.0389604014953733,0.000299480749325628,0.0386609207460477,0.0242918518204971,8.17788016543939e-05,0.0242100730188427,0.000702443494037229,8.07378453048265e-06,0.000694369709506746,0.77,0.94,0.77,0.06,0,1.11022302462516e-16
"beta-1-2",100,100,"vote-95",0.0356643678809153,0.000217751309885197,0.0354466165710301,0.0210358597203943,1.81187809165201e-05,0.0210177409394778,0.000741777849535933,8.91808306355962e-06,0.000732859766472373,0.89,0.84,0.89,0.16,0,1.11022302462516e-16
"beta-1-2",1000,100,"kde-current",0.00622941335597601,0.000101587564273177,0.00612782579170284,0.00451672337826204,9.43554387791781e-05,0.00442236793948286,9.02072744846522e-05,1.55460319135784e-08,9.01917284527386e-05,NA,NA,NA,NA,0,1.11022302462516e-16
"beta-1-2",1000,100,"single-95",0.00529124863096217,0.000110121698790694,0.00518112693217148,0.00357825537492738,0.000100014564090765,0.00347824081083661,8.97843633139735e-05,1.1840214358906e-08,8.97725230996146e-05,0.66,0.99,0.66,0.01,0,1.11022302462516e-16
"beta-1-2",1000,100,"single-1.5-95",0.00525536506766485,0.000101544516058266,0.00515382055160659,0.00354473395881986,9.15539265449705e-05,0.00345318003227489,9.00401007445582e-05,1.17497403758797e-08,9.00283510041823e-05,0.74,1,0.74,0,0,1.11022302462516e-16
"beta-1-2",1000,100,"single-2-95",0.00513761227662957,5.78945891361482e-05,0.00507971768749342,0.00342972281757982,4.87076055548851e-05,0.00338101521202494,9.00239701021473e-05,1.24358879462303e-08,9.00115342142011e-05,0.77,1,0.77,0,0,1.11022302462516e-16
"beta-1-2",1000,100,"median-90",0.0049123689857565,4.93722850242422e-05,0.00486299670073226,0.00320691875823006,4.07493449194204e-05,0.00316616941331064,9.00442888497998e-05,1.30619411365843e-08,9.00312269086632e-05,0.85,1,0.85,0,0,1.11022302462516e-16
"beta-1-2",1000,100,"vote-90",0.0049123689857565,4.93722850242422e-05,0.00486299670073226,0.00320691875823006,4.07493449194204e-05,0.00316616941331064,9.00442888497998e-05,1.30619411365843e-08,9.00312269086632e-05,0.85,1,0.85,0,0,1.11022302462516e-16
"beta-1-2",1000,100,"vote-95",0.00479175426470969,4.91523689740518e-05,0.00474260189573564,0.00308282424744127,4.05622837487035e-05,0.00304226196369257,9.01045323537463e-05,1.31951660768547e-08,9.00913371876695e-05,0.9,1,0.9,0,0,1.11022302462516e-16
"beta-1-2",2000,100,"kde-current",0.00272230305310735,5.59676809242751e-05,0.00266633537218308,0.0019056790375289,4.31831657209516e-05,0.00186249587180795,3.49019550540507e-05,5.12563386140297e-07,3.43893916679104e-05,NA,NA,NA,NA,0,2.22044604925031e-16
"beta-1-2",2000,100,"single-95",0.00227842226439808,3.40702721838305e-05,0.00224435199221425,0.00146586980788403,2.1089106066304e-05,0.00144478070181773,3.4873876560525e-05,5.18956936090987e-07,3.4354919624434e-05,0.74,1,0.74,0,0,2.22044604925031e-16
"beta-1-2",2000,100,"single-1.5-95",0.00217658515518833,3.81566931004108e-05,0.00213842846208792,0.00136388840900227,2.50752121402069e-05,0.00133881319686206,3.4835864163282e-05,5.21680567860125e-07,3.43141835954219e-05,0.8,1,0.8,0,0,2.22044604925031e-16
"beta-1-2",2000,100,"single-2-95",0.00215978434563467,3.94198605827913e-05,0.00212036448505188,0.00134606968415594,2.63280331240295e-05,0.00131974165103191,3.48458558427712e-05,5.21477750032391e-07,3.43243780927388e-05,0.82,1,0.82,0,0,2.22044604925031e-16
"beta-1-2",2000,100,"median-90",0.00217684309476441,2.91319321580093e-05,0.0021477111626064,0.00136459368425178,1.62432324012425e-05,0.00134835045185054,3.48334709044314e-05,5.16930699224826e-07,3.43165402052066e-05,0.88,1,0.88,0,0,2.22044604925031e-16
"beta-1-2",2000,100,"vote-90",0.00217684309476441,2.91319321580093e-05,0.0021477111626064,0.00136459368425178,1.62432324012425e-05,0.00134835045185054,3.48334709044314e-05,5.16930699224826e-07,3.43165402052066e-05,0.88,1,0.88,0,0,2.22044604925031e-16
"beta-1-2",2000,100,"vote-95",0.00207141291327238,2.9292340230164e-05,0.00204212057304222,0.00125919314973815,1.63959872555449e-05,0.0012427971624826,3.4846487209274e-05,5.17220111703576e-07,3.43292670975705e-05,0.95,1,0.95,0,0,2.22044604925031e-16
"beta-0.75-2",100,100,"kde-current",0.10333078278857,0.0119855482130719,0.0913452345754977,0.0917400982146583,0.0118000473232489,0.0799400508914094,0.000303702741962194,7.78354490929604e-07,0.000302924387471264,NA,NA,NA,NA,0,1.11022302462516e-16
"beta-0.75-2",100,100,"single-95",0.0941217388781045,0.011349458756582,0.0827722801215225,0.0822135251348918,0.0111930600083389,0.0710204651265529,0.000450939023734345,1.53201727591279e-05,0.000435618850975217,0.75,0.52,0.25,0.48,0,1.11022302462516e-16
"beta-0.75-2",100,100,"single-1.5-95",0.0947974087167762,0.0107399481755028,0.0840574605412734,0.0829664350643179,0.0105821776101739,0.072384257454144,0.000418017455627756,7.39349579874081e-06,0.000410623959829015,0.78,0.78,0.22,0.22,0,1.11022302462516e-16
